super_replicate;replicate;strain_no;strain;ethanol;broodsize;date;person_counting;comment
1;1;15;QX1794;300;0;22-10-2024;Lisa;
1;1;15;QX1794;300;NA;22-10-2024;Lisa;Insufficient L4s to fish
1;1;15;QX1794;300;NA;22-10-2024;Lisa;Insufficient L4s to fish
1;1;15;QX1794;400;NA;22-10-2024;Lisa;Insufficient L4s to fish
1;1;15;QX1794;400;NA;22-10-2024;Lisa;Insufficient L4s to fish
1;1;15;QX1794;400;NA;22-10-2024;Lisa;Insufficient L4s to fish
1;1;16;XZ1516;0;NA;22-10-2024;Lisa;Insufficient L4s to fish
1;1;16;XZ1516;0;NA;22-10-2024;Lisa;Insufficient L4s to fish
1;1;16;XZ1516;0;NA;22-10-2024;Lisa;Insufficient L4s to fish
1;1;16;XZ1516;100;NA;22-10-2024;Lisa;Insufficient L4s to fish
1;1;16;XZ1516;100;NA;22-10-2024;Lisa;Insufficient L4s to fish
1;1;16;XZ1516;100;NA;22-10-2024;Lisa;Insufficient L4s to fish
1;1;16;XZ1516;200;308;22-10-2024;Lisa;
1;1;16;XZ1516;200;271;22-10-2024;Lisa;
1;1;16;XZ1516;200;128;22-10-2024;Lisa;
1;1;16;XZ1516;300;74;22-10-2024;Lisa;
1;1;16;XZ1516;300;187;22-10-2024;Lisa;
1;1;16;XZ1516;300;133;22-10-2024;Lisa;
1;1;16;XZ1516;400;0;22-10-2024;Lisa;
1;1;16;XZ1516;400;NA;22-10-2024;Lisa;Insufficient L4s to fish
1;1;16;XZ1516;400;NA;22-10-2024;Lisa;Insufficient L4s to fish
1;2;1;CB4856;0;794;29-10-2024;Rick;
1;2;1;CB4856;0;715;29-10-2024;Rick;
1;2;1;CB4856;0;817;29-10-2024;Rick;
1;2;1;CB4856;100;394;29-10-2024;Rick;
1;2;1;CB4856;100;520;29-10-2024;Rick;
1;2;1;CB4856;100;421;29-10-2024;Rick;
1;2;1;CB4856;200;206;29-10-2024;Rick;Bacterial infection
1;2;1;CB4856;200;323;29-10-2024;Rick;
1;2;1;CB4856;200;321;29-10-2024;Rick;
1;2;1;CB4856;300;321;29-10-2024;Rick;
1;2;1;CB4856;300;341;29-10-2024;Rick;
1;2;1;CB4856;300;326;29-10-2024;Rick;
1;2;1;CB4856;400;232;29-10-2024;Rick;
1;2;1;CB4856;400;284;29-10-2024;Rick;
1;2;1;CB4856;400;177;29-10-2024;Rick;
1;2;2;DL238;0;448;29-10-2024;Lisa;
1;2;2;DL238;0;472;29-10-2024;Lisa;
1;2;2;DL238;0;544;29-10-2024;Lisa;
1;2;2;DL238;100;444;29-10-2024;Lisa;
1;2;2;DL238;100;432;29-10-2024;Lisa;
1;2;2;DL238;100;341;29-10-2024;Lisa;
1;2;2;DL238;200;326;29-10-2024;Lisa;
1;2;2;DL238;200;210;29-10-2024;Lisa;
1;2;2;DL238;200;360;29-10-2024;Lisa;
1;2;2;DL238;300;161;29-10-2024;Lisa;
1;2;2;DL238;300;156;29-10-2024;Lisa;
1;2;2;DL238;300;295;29-10-2024;Lisa;
1;2;2;DL238;400;237;29-10-2024;Lisa;
1;2;2;DL238;400;216;29-10-2024;Lisa;
1;2;2;DL238;400;75;29-10-2024;Lisa;
1;2;3;ECA36;0;239;29-10-2024;Rick;
1;2;3;ECA36;0;141;29-10-2024;Rick;
1;2;3;ECA36;0;233;29-10-2024;Rick;
1;2;3;ECA36;100;37;29-10-2024;Rick;
1;2;3;ECA36;100;201;29-10-2024;Rick;
1;2;3;ECA36;100;237;29-10-2024;Rick;
1;2;3;ECA36;200;86;29-10-2024;Rick;
1;2;3;ECA36;200;154;29-10-2024;Rick;
1;2;3;ECA36;200;34;29-10-2024;Rick;
1;2;3;ECA36;300;7;29-10-2024;Rick;
1;2;3;ECA36;300;2;29-10-2024;Rick;
1;2;3;ECA36;300;2;29-10-2024;Rick;
1;2;3;ECA36;400;41;29-10-2024;Rick;
1;2;3;ECA36;400;65;29-10-2024;Rick;
1;2;3;ECA36;400;19;29-10-2024;Rick;
1;2;4;ECA396;0;285;29-10-2024;Rick;
1;2;4;ECA396;0;805;29-10-2024;Rick;
1;2;4;ECA396;0;274;29-10-2024;Rick;
1;2;4;ECA396;100;820;29-10-2024;Rick;
1;2;4;ECA396;100;951;29-10-2024;Rick;
1;2;4;ECA396;100;430;29-10-2024;Rick;
1;2;4;ECA396;200;411;29-10-2024;Rick;
1;2;4;ECA396;200;355;29-10-2024;Rick;
1;2;4;ECA396;200;336;29-10-2024;Rick;
1;2;4;ECA396;300;264;29-10-2024;Rick;
1;2;4;ECA396;300;272;29-10-2024;Rick;
1;2;4;ECA396;300;107;29-10-2024;Rick;
1;2;4;ECA396;400;187;29-10-2024;Rick;
1;2;4;ECA396;400;46;29-10-2024;Rick;Bacterial infection
1;2;4;ECA396;400;102;29-10-2024;Rick;
1;2;5;EG4725;0;670;29-10-2024;Lisa;
1;2;5;EG4725;0;530;29-10-2024;Lisa;
1;2;5;EG4725;0;1475;29-10-2024;Lisa;
1;2;5;EG4725;100;514;29-10-2024;Lisa;
1;2;5;EG4725;100;550;29-10-2024;Lisa;
1;2;5;EG4725;100;420;29-10-2024;Lisa;
1;2;5;EG4725;200;425;29-10-2024;Lisa;
1;2;5;EG4725;200;351;29-10-2024;Lisa;
1;2;5;EG4725;200;226;29-10-2024;Lisa;
1;2;5;EG4725;300;209;29-10-2024;Lisa;
1;2;5;EG4725;300;295;29-10-2024;Lisa;
1;2;5;EG4725;300;283;29-10-2024;Lisa;
1;2;5;EG4725;400;6;29-10-2024;Lisa;
1;2;5;EG4725;400;176;29-10-2024;Lisa;
1;2;5;EG4725;400;87;29-10-2024;Lisa;
1;2;6;JU1400;0;415;29-10-2024;Rick;
1;2;6;JU1400;0;423;29-10-2024;Rick;
1;2;6;JU1400;0;348;29-10-2024;Rick;
1;2;6;JU1400;100;347;29-10-2024;Rick;
1;2;6;JU1400;100;330;29-10-2024;Rick;
1;2;6;JU1400;100;360;29-10-2024;Rick;
1;2;6;JU1400;200;331;29-10-2024;Rick;
1;2;6;JU1400;200;397;29-10-2024;Rick;
1;2;6;JU1400;200;319;29-10-2024;Rick;
1;2;6;JU1400;300;205;29-10-2024;Rick;
1;2;6;JU1400;300;163;29-10-2024;Rick;
1;2;6;JU1400;300;210;29-10-2024;Rick;
1;2;6;JU1400;400;81;29-10-2024;Rick;
1;2;6;JU1400;400;3;29-10-2024;Rick;
1;2;6;JU1400;400;19;29-10-2024;Rick;
1;2;7;JU2526;0;282;29-10-2024;Lisa;
1;2;7;JU2526;0;508;29-10-2024;Lisa;
1;2;7;JU2526;0;454;29-10-2024;Lisa;
1;2;7;JU2526;100;189;29-10-2024;Lisa;
1;2;7;JU2526;100;289;29-10-2024;Lisa;
1;2;7;JU2526;100;210;29-10-2024;Lisa;
1;2;7;JU2526;200;274;29-10-2024;Lisa;
1;2;7;JU2526;200;158;29-10-2024;Lisa;
1;2;7;JU2526;200;284;29-10-2024;Lisa;
1;2;7;JU2526;300;126;29-10-2024;Lisa;
1;2;7;JU2526;300;171;29-10-2024;Lisa;
1;2;7;JU2526;300;296;29-10-2024;Lisa;
1;2;7;JU2526;400;206;29-10-2024;Lisa;
1;2;7;JU2526;400;151;29-10-2024;Lisa;
1;2;7;JU2526;400;206;29-10-2024;Lisa;
1;2;8;JU2600;0;544;29-10-2024;Rick;
1;2;8;JU2600;0;691;29-10-2024;Rick;
1;2;8;JU2600;0;667;29-10-2024;Rick;
1;2;8;JU2600;100;517;29-10-2024;Rick;
1;2;8;JU2600;100;629;29-10-2024;Rick;
1;2;8;JU2600;100;1021;29-10-2024;Rick;
1;2;8;JU2600;200;428;29-10-2024;Rick;
1;2;8;JU2600;200;436;29-10-2024;Rick;
1;2;8;JU2600;200;428;29-10-2024;Rick;
1;2;8;JU2600;300;256;29-10-2024;Rick;
1;2;8;JU2600;300;328;29-10-2024;Rick;
1;2;8;JU2600;300;215;29-10-2024;Rick;
1;2;8;JU2600;400;182;29-10-2024;Rick;
1;2;8;JU2600;400;160;29-10-2024;Rick;
1;2;8;JU2600;400;229;29-10-2024;Rick;
1;2;9;JU310;0;530;29-10-2024;Lisa;
1;2;9;JU310;0;527;29-10-2024;Lisa;
1;2;9;JU310;0;509;29-10-2024;Lisa;
1;2;9;JU310;100;448;29-10-2024;Lisa;
1;2;9;JU310;100;412;29-10-2024;Lisa;
1;2;9;JU310;100;400;29-10-2024;Lisa;
1;2;9;JU310;200;348;29-10-2024;Lisa;
1;2;9;JU310;200;287;29-10-2024;Lisa;
1;2;9;JU310;200;298;29-10-2024;Lisa;
1;2;9;JU310;300;306;29-10-2024;Lisa;
1;2;9;JU310;300;353;29-10-2024;Lisa;
1;2;9;JU310;300;361;29-10-2024;Lisa;
1;2;9;JU310;400;129;29-10-2024;Lisa;
1;2;9;JU310;400;65;29-10-2024;Lisa;
1;2;9;JU310;400;117;29-10-2024;Lisa;
1;2;10;MY2147;0;376;29-10-2024;Lisa;
1;2;10;MY2147;0;507;29-10-2024;Lisa;
1;2;10;MY2147;0;538;29-10-2024;Lisa;
1;2;10;MY2147;100;366;29-10-2024;Lisa;
1;2;10;MY2147;100;328;29-10-2024;Lisa;
1;2;10;MY2147;100;334;29-10-2024;Lisa;
