super_replicate,replicate,strain_no,strain,ethanol,broodsize,date,person_counting,comment,broodsize_nor
1,2,3,ECA36,200,154,29-10-2024,Rick,,0.9267803410230693
1,2,3,ECA36,200,34,29-10-2024,Rick,,0.20461384152457374
1,2,3,ECA36,300,7,29-10-2024,Rick,,0.04212637913741224
1,2,3,ECA36,300,2,29-10-2024,Rick,,0.012036108324974926
1,2,3,ECA36,300,2,29-10-2024,Rick,,0.012036108324974926
1,2,3,ECA36,400,41,29-10-2024,Rick,,0.24674022066198598
1,2,3,ECA36,400,65,29-10-2024,Rick,,0.3911735205616851
1,2,3,ECA36,400,19,29-10-2024,Rick,,0.1143430290872618
1,2,4,ECA396,0,285,29-10-2024,Rick,,0.9762131303520456
1,2,4,ECA396,0,805,29-10-2024,Rick,,2.757373929590866
1,2,4,ECA396,0,274,29-10-2024,Rick,,0.938534728829686
1,2,4,ECA396,100,820,29-10-2024,Rick,,2.808753568030447
1,2,4,ECA396,100,951,29-10-2024,Rick,,3.2574690770694574
1,2,4,ECA396,100,430,29-10-2024,Rick,,1.472882968601332
1,2,4,ECA396,200,411,29-10-2024,Rick,,1.407802093244529
1,2,4,ECA396,200,355,29-10-2024,Rick,,1.2159847764034253
1,2,4,ECA396,200,336,29-10-2024,Rick,,1.1509039010466222
1,2,4,ECA396,300,264,29-10-2024,Rick,,0.9042816365366317
1,2,4,ECA396,300,272,29-10-2024,Rick,,0.9316841103710751
1,2,4,ECA396,300,107,29-10-2024,Rick,,0.3665080875356803
1,2,4,ECA396,400,187,29-10-2024,Rick,,0.6405328258801142
1,2,4,ECA396,400,46,29-10-2024,Rick,Mold infection,0.15756422454804947
1,2,4,ECA396,400,102,29-10-2024,Rick,,0.34938154138915317
1,2,5,EG4725,0,670,29-10-2024,Lisa,,1.43349578033995
1,2,5,EG4725,0,530,29-10-2024,Lisa,,1.1339593486271247
1,2,5,EG4725,0,1475,29-10-2024,Lisa,,3.155830262688696
1,2,5,EG4725,100,514,29-10-2024,Lisa,,1.0997266135742303
1,2,5,EG4725,100,550,29-10-2024,Lisa,,1.1767502674432426
1,2,5,EG4725,100,420,29-10-2024,Lisa,,0.8986092951384761
1,2,5,EG4725,200,425,29-10-2024,Lisa,,0.9093070248425056
1,2,5,EG4725,200,351,29-10-2024,Lisa,,0.7509806252228693
1,2,5,EG4725,200,226,29-10-2024,Lisa,,0.48353738262213236
1,2,5,EG4725,300,209,29-10-2024,Lisa,,0.44716510162843215
1,2,5,EG4725,300,295,29-10-2024,Lisa,,0.6311660525377392
1,2,5,EG4725,300,283,29-10-2024,Lisa,,0.6054915012480684
1,2,5,EG4725,400,6,29-10-2024,Lisa,,0.012837275644835373
1,2,5,EG4725,400,176,29-10-2024,Lisa,,0.3765600855818376
1,2,5,EG4725,400,87,29-10-2024,Lisa,,0.1861404968501129
1,2,6,JU1400,0,415,29-10-2024,Rick,,1.5972379443060902
1,2,6,JU1400,0,423,29-10-2024,Rick,,1.6280280733529546
1,2,6,JU1400,0,348,29-10-2024,Rick,,1.339370613538601
1,2,6,JU1400,100,347,29-10-2024,Rick,,1.3355218474077428
1,2,6,JU1400,100,330,29-10-2024,Rick,,1.270092823183156
1,2,6,JU1400,100,360,29-10-2024,Rick,,1.3855558071088976
1,2,6,JU1400,200,331,29-10-2024,Rick,,1.273941589314014
1,2,6,JU1400,200,397,29-10-2024,Rick,,1.5279601539506453
1,2,6,JU1400,200,319,29-10-2024,Rick,,1.2277563957437174
1,2,6,JU1400,300,205,29-10-2024,Rick,,0.7889970568258999
1,2,6,JU1400,300,163,29-10-2024,Rick,,0.6273488793298619
1,2,6,JU1400,300,210,29-10-2024,Rick,,0.8082408874801902
1,2,6,JU1400,400,81,29-10-2024,Rick,,0.31175005659950195
1,2,6,JU1400,400,3,29-10-2024,Rick,,0.011546298392574145
1,2,6,JU1400,400,19,29-10-2024,Rick,,0.07312655648630292
1,2,7,JU2526,0,282,29-10-2024,Lisa,,0.7998739363378506
1,2,7,JU2526,0,508,29-10-2024,Lisa,,1.4409076583674756
1,2,7,JU2526,0,454,29-10-2024,Lisa,,1.2877403088559722
1,2,7,JU2526,100,189,29-10-2024,Lisa,,0.5360857232902616
1,2,7,JU2526,100,289,29-10-2024,Lisa,,0.8197289631263789
1,2,7,JU2526,100,210,29-10-2024,Lisa,,0.5956508036558462
1,2,7,JU2526,200,274,29-10-2024,Lisa,,0.7771824771509612
1,2,7,JU2526,200,158,29-10-2024,Lisa,,0.4481563189410653
1,2,7,JU2526,200,284,29-10-2024,Lisa,,0.805546801134573
1,2,7,JU2526,300,126,29-10-2024,Lisa,,0.3573904821935077
1,2,7,JU2526,300,171,29-10-2024,Lisa,,0.48502994011976047
1,2,7,JU2526,300,296,29-10-2024,Lisa,,0.839583989914907
1,2,7,JU2526,400,206,29-10-2024,Lisa,,0.5843050740624015
1,2,7,JU2526,400,151,29-10-2024,Lisa,,0.42830129215253704
1,2,7,JU2526,400,206,29-10-2024,Lisa,,0.5843050740624015
1,2,8,JU2600,0,544,29-10-2024,Rick,,1.175792507204611
